"Key-Clé","CoAppNm","CoAppRoleCD","CoAppRoleEN","CoAppRoleFR","CoAppOrgID","CoAppOrgNm","ProvinceEN","ProvinceFR","CountryEN","PaysFR","FiscalYear-AnnéeFinancière"
878088,"O'Dowd, Brian F","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
135467,"Olson, David M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
539589,"Pang, Cho Y","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
884644,"Poitras, Pierre","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCJ","Saint-Luc Hospital (Montréal)/Hôpital Saint-Luc (Montréal)","Québec","Québec","Canada","Canada","200102"
613059,"Quamme, Gary A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
782386,"Rabbani, Shafaat A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
428879,"Rajotte, Raymond V","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
428879,"Elliott, John F","CO","Co-Investigator","Co-chercheur","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
9465,"Reiner, Neil E","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
629929,"Robaire, Bernard","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
389868,"Rusak, Benjamin","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CHAA","Dalhousie University (Nova Scotia)","Nova Scotia","Nouvelle-Écosse","Canada","Canada","200102"
945021,"Rylett, Jane R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CPCV","Robarts Research Institute - U.W.O. (London, Ont.)","Ontario","Ontario","Canada","Canada","200102"
527910,"Schellenberg, Robert R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
903,"Scott, Richard Brent","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
354727,"Sherwood, Nancy M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CABA","University of Victoria (British Columbia)","British Columbia","Colombie-Britannique","Canada","Canada","200102"
325830,"Siminovitch, Katherine A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAD","Sinai Health System (Toronto)","Ontario","Ontario","Canada","Canada","200102"
243660,"Siu, Chi-Hung","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
994249,"Siu, Chi-Hung","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
894258,"Smiley, James R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
105967,"Monge, Juan C","CO","Co-Investigator","Co-chercheur","CEAJ","Unity Health Toronto","Ontario","Ontario","Canada","Canada","200102"
105967,"Stewart, Duncan J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CECA","University of Ottawa/Université d'Ottawa","Ontario","Ontario","Canada","Canada","200102"
159463,"Stewart, Jane","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFGA","Concordia University (Montreal, Quebec)/Université Concordia","Québec","Québec","Canada","Canada","200102"
510668,"Templeton, Douglas M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
379118,"Turley, Eva A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
311057,"Vaccarino, Franco J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
551152,"Valvano, Miguel A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","AAPY","Queen's University of Belfast (Ireland)","Unknown/Inconnu","Unknown/Inconnu","Ireland","Irelande","200102"
794006,"Wallace, John L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
690921,"Weeks, Gerald","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
545741,"Rouleau, Jacques R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
683464,"Ferenczy, Alex","CO","Co-Investigator","Co-chercheur","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
683464,"Arella, Maximilien","CO","Co-Investigator","Co-chercheur","CFEG","INRS-Institut Armand-Frappier (Laval)","Québec","Québec","Canada","Canada","200102"
683464,"Coutlée, François","CO","Co-Investigator","Co-chercheur","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
683464,"Franco, Eduardo L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
901646,"Anand-Srivastava, Madhu B","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
941957,"Cole, William C","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
413377,"Keeley, Fred W","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
48817,"Hollenberg, Morley D","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
567168,"Delovitch, Terry L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CPCV","Robarts Research Institute - U.W.O. (London, Ont.)","Ontario","Ontario","Canada","Canada","200102"
12743,"Pearson, Keir G","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
615013,"Jolicoeur, Paul","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCN","Institut de recherches cliniques de Montréal","Québec","Québec","Canada","Canada","200102"
244326,"Hannah, Mary E","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
838581,"Van Der Jagt, Richard H","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CECE","Ottawa Hospital Research Institute","Ontario","Ontario","Canada","Canada","200102"
11586,"Arnold, Douglas L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
11586,"Andermann, Frederick","CO","Co-Investigator","Co-chercheur","ADBC","Montreal Neurological Institute/Institut neurologique de Montréal","Québec","Québec","Canada","Canada","200102"
460435,"Bally, Marcel B","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","BCAV","BC Cancer, part of PHSA (Vancouver)","British Columbia","Colombie-Britannique","Canada","Canada","200102"
460435,"Mayer, Lawrence D","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
460435,"Madden, Thomas D","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
255003,"Bouvier, Michel","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
255003,"Dennis, Michael J","CO","Co-Investigator","Co-chercheur","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
746547,"Brubaker, Patricia L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
930991,"Dunn, Susan M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
232706,"Fenster, Aaron","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
232706,"Rankin, Richard N","CO","Co-Investigator","Co-chercheur","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
232706,"Holdsworth, David W","CO","Co-Investigator","Co-chercheur","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
476363,"Giguere, Vincent","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
661292,"Hayden, Michael R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
277467,"Adams, Mark E","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
277467,"Herzog, Walter","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
329487,"Jacobs-Kaufman, Susan E","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
786552,"Jugdutt, Bodh I","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
703271,"Kothary, Rashmi K","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","ADYP","Ottawa Hospital Research Institute/Institut de recherche de l'Hôpital d'Ottawa","Ontario","Ontario","Canada","Canada","200102"
330862,"Lewis, James F","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CPVA","St-Joseph's Health Care London - St-Joseph Hospital","Ontario","Ontario","Canada","Canada","200102"
330862,"Veldhuizen, Rudolf A","CO","Co-Investigator","Co-chercheur","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
616243,"Menezes, José P","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCF","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)","Québec","Québec","Canada","Canada","200102"
616243,"Ahmad, Ali","CO","Co-Investigator","Co-chercheur","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
323029,"Merali, Zulfiquar","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","IMHR","University of Ottawa Institute of Mental Health Research/Institut de recherche en santé mentale de l'Université d'Ottawa","Ontario","Ontario","Canada","Canada","200102"
738246,"Moerman, Donald G","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
877658,"Moran, Michael F","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
99922,"Rabbani, Shafaat A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
562312,"Deshaies, Yves","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
562312,"Richard, Denis","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
775714,"Rosenthal, Kenneth L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEBA","McMaster University","Ontario","Ontario","Canada","Canada","200102"
829201,"Salter, Michael W","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
874467,"Tepperman, Barry L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
412335,"van der Kooy, Derek J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
326491,"Vincent, Steven R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
382153,"Watts, Tania H","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
731906,"Weiss, Samuel","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
995192,"Mauk, Grant","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
501468,"Meloche, Sylvain","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
156730,"Mcfadden, Grant","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CPCV","Robarts Research Institute - U.W.O. (London, Ont.)","Ontario","Ontario","Canada","Canada","200102"
671192,"Sheldon, Robert S","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
779692,"Honer, William G","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
779692,"Kopala, Lili C","CO","Co-Investigator","Co-chercheur","CHAA","Dalhousie University (Nova Scotia)","Nova Scotia","Nouvelle-Écosse","Canada","Canada","200102"
621916,"Day, Robert","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFDA","Université de Sherbrooke","Québec","Québec","Canada","Canada","200102"
473310,"Prud'Homme, Denis","CO","Co-Investigator","Co-chercheur","CGBA","Université de Moncton (New Brunswick)","New Brunswick","Nouveau-Brunswick","Canada","Canada","200102"
473310,"Marette, André","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
473310,"Deshaies, Yves","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
473310,"Mauriege, Pascale","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
473310,"Després, Jean-Pierre","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
473310,"Bergeron, Jean","CO","Co-Investigator","Co-chercheur","AEHD","Centre Hospitalier Universitaire de Québec","Québec","Québec","Canada","Canada","200102"
473310,"Bergeron, Nathalie N","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
39773,"Pérusse, Louis","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
39773,"Dionne, France T","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
39773,"Rao, D.C.","CO","Co-Investigator","Co-chercheur","SVAA","Washington University (St. Louis)","Washington","Washington","United States","États-Unis","200102"
39773,"Chagnon, Yvon C","CO","Co-Investigator","Co-chercheur","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
989267,"Miller, Freda D","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
121583,"Arsenault, Larry A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEBA","McMaster University","Ontario","Ontario","Canada","Canada","200102"
196120,"Becker, Laurence E","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
930181,"Kunimoto, Dennis Y","CO","Co-Investigator","Co-chercheur","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
930181,"Mosmann, Timothy R","CO","Co-Investigator","Co-chercheur","SGBA","University of Rochester (New York)","New York","New York","United States","États-Unis","200102"
930181,"Pabst, Henry F","CO","Co-Investigator","Co-chercheur","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
930181,"Paterson, Alan R","CO","Co-Investigator","Co-chercheur","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
930181,"Mcgann, Locksley E","CO","Co-Investigator","Co-chercheur","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
