"","organization","orgID","province","country"
"119","Acadia University (Nova Scotia)","CHBA","Nova Scotia","Canada"
"120","INRS-Institut Armand-Frappier (Laval)","CFEG","Québec","Canada"
"121","Emory University (Atlanta, Georgia)","AACO","Georgia","United States"
"122","Royal Victoria Hospital (Montreal)/Hôpital Royal Victoria","CFSA","Québec","Canada"
"123","First Nations University of Canada - Main Campus (Regina, Saskatchewan)","ISAF","Saskatchewan","Canada"
"124","CIET Canada (Ottawa)","CIET","Ontario","Canada"
"125","Université du Québec en Outaouais","CFEF","Québec","Canada"
"126","St. Francis Xavier University (Nova Scotia)","CHCA","Nova Scotia","Canada"
"127","Organizations inside Canada","INTV","Unknown/Inconnu","Canada"
"128","Canadian Memorial Chiropractic College (Ontario)","CPCA","Ontario","Canada"
"129","Brock University (Ontario)","CEFA","Ontario","Canada"
"130","Université du Québec en Abitibi-Témiscamingue","AEFF","Québec","Canada"
"131","Cape Breton University","IQAJ","Nova Scotia","Canada"
"132","Vancouver Hospital & Health Sciences Centre","ISAS","British Columbia","Canada"
"133","Children's Hospital Foundation","INTP","Manitoba","Canada"
"134","University of Winnipeg","CDBA","Manitoba","Canada"
"135","Athabasca University (Alberta)","ADXS","Alberta","Canada"
"136","Mount Allison University (New Brunswick)","CGCA","New Brunswick","Canada"
"137","Saint Mary's University (Nova Scotia)","CHDA","Nova Scotia","Canada"
"138","Neil Squire Society (Vancouver)","AABN","British Columbia","Canada"
"139","Mental Health Centre (Penetanguishine)","CEQA","Ontario","Canada"
"140","INRS-Institut Armand-Frappier (Pointe-Claire)","CFJB","Québec","Canada"
"141","Canadian Blood Services (Ottawa)/Société canadienne du sang (Ottawa)","CEAV","Ontario","Canada"
"142","Hincks-Dellcrest Centre (North York, Ont.)","HDEL","Ontario","Canada"
"143","Ontario Health - CCO (Toronto)","AEGL","Ontario","Canada"
"144","Canadian Institute for the Relief of Pain and Disability","IRPD","British Columbia","Canada"
"145","Meakins Christie Labs (Québec)","AAZR","Québec","Canada"
"146","Lady Davis Institute for Medical Research (Mtl)","ABFJ","Québec","Canada"
"147","St. Boniface Gen. Hospital Research Fdn. Inc.","INTA","Manitoba","Canada"
"148","University of King's College (Nova Scotia)","CUKC","Nova Scotia","Canada"
"149","Stanford University (California)","UEBA","California","United States"
"150","Holland Bloorview Kids Rehabilitation Hospital (Toronto)","CEAS","Ontario","Canada"
"151","Centre hospitalier de l'Université Laval (Québec)","CFBC","Québec","Canada"
"152","Cancer Research Society Inc.","INRL","Ontario","Canada"
"153","Canadian Cancer Society Research Institute (Toronto)","INSJ","Ontario","Canada"
"154","École de technologie supérieure (Montréal)","ADLD","Québec","Canada"
"155","Alzheimer Society of Canada","INRF","Ontario","Canada"
"156","Universidade Federal de Santa Catarina (Brazil)","ADML","Unknown/Inconnu","Brazil"
"157","Lakeridge Health Corporation Research Institute","RILH","Ontario","Canada"
"158","Access Alliance Multicultural Community Health Ctr","DOLR","Ontario","Canada"
"159","Canadian Genetic Diseases Network (Vancouver)","IPAU","British Columbia","Canada"
"160","Institute of Health Economics (Edmonton)","IECO","Alberta","Canada"
"161","University of California (Davis)","AABB","California","United States"
"162","Université Libre de Bruxelles (Belgium)","XEAJ","Unknown/Inconnu","Belgium"
"163","London Health Sciences Centre Res. Inc. (Ont.)","LHSI","Ontario","Canada"
"164","Riverview Hospital (Port Coquitlam, B.C.)","CAAM","British Columbia","Canada"
"165","National Research Council of Canada (Montréal)","CECS","Québec","Canada"
"166","Society of Cardiac Surgeons (Quebec)","SCSQ","Québec","Canada"
"167","Canadian Assoc. for Lab. Animal Science (Winnipeg)","CALA","Manitoba","Canada"
"168","Hôpital du Saint-Sacrement (Québec)","CFCG","Québec","Canada"
"169","McGill University Health Centre/Centre Universitaire de Santé McGill","INUD","Québec","Canada"
"170","Centre Hospitalier Universitaire de Québec","AEHD","Québec","Canada"
"171","Vancouver Island Health Authority","VIHA","British Columbia","Canada"
"172","National Aboriginal Health Organization (Ottawa)","NAHC","Ontario","Canada"
"173","TRIUMF (Vancouver, BC)","ABBI","British Columbia","Canada"
"174","Brain Canada Foundation (Montreal, Québec)","INXM","Québec","Canada"
"175","C.N.R.S. (France)","BAHE","Unknown/Inconnu","France"
"176","Brandon University (Manitoba)","CDCA","Manitoba","Canada"
"177","University of Alberta Hospital (Edmonton)","CBAD","Alberta","Canada"
"178","University of Birmingham (U.K.)","AAKF","Unknown/Inconnu","United Kingdom"
"179","BC Cancer, part of PHSA (Vancouver)","BCAV","British Columbia","Canada"
"180","Royal Jubilee Hospital (Victoria, BC)","CPVZ","British Columbia","Canada"
"181","SIDA AIDS Moncton Inc (Moncton, NB)","SAMI","New Brunswick","Canada"
"182","Canadian AIDS Society (Ottawa)","CANA","Ontario","Canada"
"183","COCQ-Sida (Montréal, Québec)","COCQ","Québec","Canada"
"184","Ontario AIDS Network (Toronto, Ontario)","OANE","Ontario","Canada"
"185","Positive Living Society of British Columbia (Vancouver, B.C.)","BCPW","British Columbia","Canada"
"186","Alberta Community Council on HIV (Edmonton, AB)","ACCH","Alberta","Canada"
"187","2-Spirited People of the 1st Nations (Toronto, Ontario)","SPIR","Ontario","Canada"
"188","Canadian Aboriginal AIDS Network (Vancouver)/Réseau canadien autochtone du SIDA (Vancouver)","CABO","British Columbia","Canada"
"189","Positive Living North: No kheyoh t'sih'en t'ehena Society(Prince George BC)","POSI","British Columbia","Canada"
"190","Community-Based Research Centre (Vancouver B.C.)","CBRC","British Columbia","Canada"
"191","AIDS Calgary Awareness Association","ADFK","Alberta","Canada"
"192","AIDS Committee of Toronto","AIDT","Ontario","Canada"
"193","Sexuality Education Resource Centre (Winnipeg, Manitoba)","SEXU","Manitoba","Canada"
"194","ÉMISS-ÈRE (Longueil, Québec)","EMIS","Québec","Canada"
"195","Canadian Treatment Action Council (Toronto, Ontario)","CTAC","Ontario","Canada"
"196","RÉZO (Québec)","ACTI","Québec","Canada"
"197","Commission de santé/services soc. des Premières Nations du Qué & Labrador","CSSP","Québec","Canada"
"198","University of Ontario Institute of Technology","UOIT","Ontario","Canada"
"199","Canadian Association of Gastroenterology (Oakville, Ontario)/L'Association Canadienne de Gastroentérologie","INPW","Ontario","Canada"
"200","Assembly of First Nations (Ottawa, ON)","ASSE","Ontario","Canada"
"201","Canadian Medical Association (Ottawa)/Association médicale canadienne","ABDT","Ontario","Canada"
"202","Interior Health Authority (Kelowna, BC)","NORI","British Columbia","Canada"
"203","National Aboriginal Diabetes Association (Winnipeg, Manitoba)/Association Nationale Autochtone du Diabète (Winnipeg, Manitoba)","NADA","Manitoba","Canada"
"204","Society of Gynecologic Oncology Canada (Hamilton, Ontario)","SGOC","Ontario","Canada"
"205","Johns Hopkins University (Baltimore, Maryland)","UUAA","Maryland","United States"
"206","Inst. de rech. Robert-Sauvé en santé et en sécurité du travail (QC)","ADXZ","Québec","Canada"
"207","Charles LeMoyne Hospital (Greenfield Park, Québec)/Hôpital Charles LeMoyne (Greenfield Park, Québec)","ABQJ","Québec","Canada"
"208","Canadian Bioethics Society (Calgary, Alberta)","CBSS","Alberta","Canada"
"209","National Council on Ethics in Human Research/Conseil national d'éthique en recherche chez l'humain","CEHR","Ontario","Canada"
"210","Brescia University College (London, Ontario)","BCMU","Ontario","Canada"
"211","Fife House (Toronto, Ontario)","FIFE","Ontario","Canada"
"212","Nine Circles Community Health Centre (Manitoba)","NINE","Manitoba","Canada"
"213","Canadian AIDS Treatment Information Exchange (Toronto, Ontario)/Réseau canadian d'info-traitements sida","CATI","Ontario","Canada"
"214","Vancouver Island University (Nanaimo, BC)","MALU","British Columbia","Canada"
"215","Canadian Hemophilia Society (Montreal)","CFAL","Québec","Canada"
"216","Traffic Injury Research Foundation of Canada (Ottawa)","CPDA","Ontario","Canada"
"217","Saint Paul University (Ottawa)/Université Saint Paul (Ottawa)","INVH","Ontario","Canada"
"218","Université du Québec","CFEA","Québec","Canada"
"219","Inuit Tapiriit Kanatami (Ottawa)","NUIT","Ontario","Canada"
"220","Canadian Mental Health Association (Ottawa)","AACW","Ontario","Canada"
"221","University of Ottawa Institute of Mental Health Research/Institut de recherche en santé mentale de l'Université d'Ottawa","IMHR","Ontario","Canada"
"222","Calgary Health Region","IRAL","Alberta","Canada"
"223","The Vancouver Friends For Life Society (British Columbia)","VFFL","British Columbia","Canada"
"224","Cree Board of Health & Social Services (Quebec)/Conseil Cri de la Santé et des Services sociaux de la Baie-James","CREE","Québec","Canada"
"225","Fraser Health Authority (Surrey, BC)","FRAS","British Columbia","Canada"
"226","King's College Hospital (London, England)","AAAM","England","United Kingdom"
"227","Canadian Massage Therapist Alliance (Oakville, Ontario)","CMTA","Ontario","Canada"
"228","Royal Roads University (Victoria, BC)","ROYL","British Columbia","Canada"
"229","Women's College Hospital (Toronto)","CEAN","Ontario","Canada"
"230","Canadian Public Health Association (Ottawa, Ontario)","CPIA","Ontario","Canada"
"231","The Ottawa Hospital - Civic Campus/L'Hôpital d'Ottawa - Campus Civic","CECB","Ontario","Canada"
"232","Association of Local Public Health Agencies (Toronto, Ontario)","ALPH","Ontario","Canada"
"233","Genome Canada (Ottawa, Ontario)","GENC","Ontario","Canada"
"234","Native Women's Association of Canada (Ottawa)","NTWO","Ontario","Canada"
"235","Canadian Foundation for Healthcare Improvement (Ottawa)","INXF","Ontario","Canada"
"236","Biotika Inc. (Quebec)","BIIN","Québec","Canada"
"237","Fonds de recherche du Québec - Santé (FRQS)","INRZ","Québec","Canada"
"238","Saskatoon Health Region (Saskatchewan)","SHEA","Saskatchewan","Canada"
"239","Pauktuutit Inuit Women of Canada (Ottawa)","ABYK","Ontario","Canada"
"240","HEC Montréal","HECM","Québec","Canada"
"241","Institute of Naturopathic Education and Research (Toronto)","CNME","Ontario","Canada"
"242","Alberta Mental Health Board","AMHB","Alberta","Canada"
"243","Consortium of Canadian Centres for Clinical Cognitive Research","CCCR","Alberta","Canada"
"244","Victoria Heart Institute Foundation (Victoria, BC)","VICH","British Columbia","Canada"
"245","Canadian Association for Health Services and Policy Research (Ottawa, Ont)","CAHS","Ontario","Canada"
"246","National Case Management Network of Canada (London, Ontario)/Reseau National des gestionnaire de cas du Canada","NCMN","Ontario","Canada"
"247","Portuguese-Canadian National Congress (Toronto, Ontario)","PCNC","Ontario","Canada"
"248","Canadian Coalition for Global Health Research (Wakefield, QC)/Coalition Canadienne pour la Recherche en Santé Mondiale","CCGH","Québec","Canada"
"249","Alberta Bone and Joint Health Institute (Calgary, AB)","ABJH","Alberta","Canada"
"250","Ontario HIV Treatment Network","OHTN","Ontario","Canada"
"251","Centre for Drug Research and Development (Vancouver, BC)","CDRD","British Columbia","Canada"
"252","Advanced Applied Physics Solutions, Inc. (Richmond, BC)","ADAP","British Columbia","Canada"
"253","Prostate Centre's Translational Res Init Acc Disc & Development","PCTR","British Columbia","Canada"
"254","Centre d'excellence en médecine personnalisée (Montréal, QC)","CEMP","Québec","Canada"
"255","Centre for Commercialization of Research (Ottawa, Ontario)","CCRE","Ontario","Canada"
"256","CECR in the Prevention of Epidemic Organ Failure","PROO","British Columbia","Canada"
"257","Pan-Provincial Vaccine Enterprise","PREV","Saskatchewan","Canada"
"258","Institute for Research in Immun & Cancer/CECR in Therapeutics Discovery(QC)","IRCA","Québec","Canada"
"259","MaRS Innovation","MARI","Ontario","Canada"
"260","Centre for Probe Development and Commercialization (Hamilton)","PROB","Ontario","Canada"
"261","Markham Museum (Markham, Ontario)","MMOO","Ontario","Canada"
"262","University of Newcastle upon Tyne (UK)","EFAA","Unknown/Inconnu","United Kingdom"
"263","All Nations Hope Network (Regina, Saskatchewan)","ALNA","Saskatchewan","Canada"
"264","Canadian Breast Cancer Research Alliance","BCRA","Ontario","Canada"
"265","Canadian Association of Psychosocial Oncology (Toronto, Ontario)/Association Canadienne d'Oncologie Psychosociale","CAPO","Ontario","Canada"
"266","Ottawa Heart Institute Research Corporation (Ontario)","OHIR","Ontario","Canada"
"267","International Health Economics Association (Hubley, NS)","IHEA","Nova Scotia","Canada"
"268","The Marigold Foundation Ltd. (Calgary, Alberta)","MFOL","Alberta","Canada"
"269","Amyotrophic Lateral Sclerosis Society of Canada/Société canadienne de la Sclérose Latérale Amyotrophie","INTC","Ontario","Canada"
"270","Ecole nationale d'administration publique (Québec)","ENAP","Québec","Canada"
"271","Canadian Society for Life Science Research (Kingston, Ontario)","CSLS","Ontario","Canada"
"272","Occupational and Environmental  Medical Association of Canada (Quebec)/Association Canadienne de la Médecine du Travail et de l'Environement (QC)","VIME","Québec","Canada"
"273","Nipissing University (North Bay)","ABPJ","Ontario","Canada"
"274","Canadian Society for International Health (Ottawa)/Société canadienne de santé internationale (Ottawa)","CSIH","Ontario","Canada"
"275","The Hearing Foundation of Canada","HFCC","Ontario","Canada"
"276","Canadian Lung Association (Ottawa)","INRU","Ontario","Canada"
"277","Canadian Palliative Care Association","INUQ","Ontario","Canada"
"278","Toronto Public Health (Ont.)","TPHL","Ontario","Canada"
"279","Down Syndrome Research Foundation (Burnaby, BC)","DSRF","British Columbia","Canada"
"280","Let's Talk Science","LUTS","Ontario","Canada"
"281","Canadian Commission for UNESCO (Ottawa, Ontario)/Commission canadienne pour l'UNESCO","CCUN","Ontario","Canada"
"282","Canadian Chiropractic Research Foundation","INUC","Ontario","Canada"
"283","Canadian Dental Hygienists Association (Ottawa, Ontario)","CDHA","Ontario","Canada"
"284","Canadian Paediatric Society (Ontario)/Société canadienne de pédiatrie","CPJA","Ontario","Canada"
"285","BC Non-Profit Housing Association (Vancouver)","BCNP","British Columbia","Canada"
"286","The North-South Institute (Ottawa, ON)/L'Institut Nord-Sud (Ottawa, ON)","NSIN","Ontario","Canada"
"287","Institut national de santé publique du Québec","NNSP","Québec","Canada"
"288","Planned Parenthood of Toronto","PLPT","Ontario","Canada"
"289","The City of Calgary","CALG","Alberta","Canada"
"290","Health Charities Coalition of Canada","HCCC","Ontario","Canada"
"291","Hamilton Social & Public Health Services Dept.","HAMI","Ontario","Canada"
"292","Canadian Sleep Society (Montreal)/Société Canadienne du sommeil (Montréal)","SCCO","Québec","Canada"
"293","Canadian Society for Immunology","CSIM","British Columbia","Canada"
"294","Atlantic Health Sciences Corporation (NB)","ADZU","New Brunswick","Canada"
"295","Parkinson Society Canada (Toronto)","INSZ","Ontario","Canada"
"296","Science World British Columbia","SWBC","British Columbia","Canada"
"297","Arthritis Society","CPBA","Ontario","Canada"
"298","Canadian Arthritis Patient Alliance (Quebec)","CAPA","Québec","Canada"
"299","Bone and Joint Decade Canada (Toronto, Ontario)/Décennie des os et des articulations au Canada","BJDC","Ontario","Canada"
"300","Canadian Coalition for Seniors Mental Health (Toronto, ON)","CCSM","Ontario","Canada"
"301","St. Joseph's Care Group (Thunder Bay, Ontario)","SJCG","Ontario","Canada"
"302","Canadian Red Cross Society (Ottawa, Ontario)","INSR","Ontario","Canada"
"303","Canadian Nurses Association (Ottawa)/Association des infirmières et infirmiers du Canada (Ottawa)","CNUR","Ontario","Canada"
"304","THEMUSEUM (Kitchener, Ontario)","THMU","Ontario","Canada"
"305","Science North (Sudbury, ON)","SNOR","Ontario","Canada"
"306","Longwoods Publishing Corporation","LONG","Ontario","Canada"
"307","Centre for Surgical Invention and Innovation (Hamilton, ON)","SINV","Ontario","Canada"
"308","ArboraNano - Canadian Forest NanoProducts Network","NANO","Québec","Canada"
"309","Quebec Consortium for Drug Discovery/Consortium québécois sur la découverte du médicament","CQDM","Québec","Canada"
"310","Victorian Order of Nurses for Canada (Ottawa)/Les Infirmières de l'Ordre de Victoria du Canada","AACK","Ontario","Canada"
"311","Université du Québec à Rimouski","CFEE","Québec","Canada"
"312","Thames Valley Children's Centre (London, Ontario)","CEEH","Ontario","Canada"
"313","Canadian HIV/AIDS Legal Network (Toronto)","HIVL","Ontario","Canada"
"314","Sheridan College (Ontario)","AAWX","Ontario","Canada"
"315","Canadian Association of Nurses in Oncology","CANO","British Columbia","Canada"
"316","Trinity Western University (Langley, BC)","INWU","British Columbia","Canada"
"317","Canadian Pharmacists Association (Ottawa, Ontario)/Association des pharmaciens du Canada","CPAS","Ontario","Canada"
"318","Canadian Association of Research Ethics Boards (Ottawa)/L'association canadienne des comités d'éthique de la recherche (Ottawa)","AREB","Ontario","Canada"
"319","Northern Ontario School of Medicine - West Campus","NOWE","Ontario","Canada"
"320","Autism Society Canada","TASC","Ontario","Canada"
"321","Women's Health in Women's Hands (Toronto)","WHWH","Ontario","Canada"
"322","OCAD University (Toronto, Ontario)","OCOL","Ontario","Canada"
"323","Association of Canadian Academic Healthcare Organizations/Association canadienne des Institutions de sante universitaires","AHAO","Ontario","Canada"
"324","Canadian Diabetes Association -North East Ontario Regional Office (Sudbury)","CDIN","Ontario","Canada"
"325","Canadian Cancer Society, New Brunswick Division","AECD","New Brunswick","Canada"
"326","Council of Academic Hospitals of Ontario (Toronto)","COAH","Ontario","Canada"
"327","RésoSanté Colombie-Britannique (Vancouver)","RECO","British Columbia","Canada"
"328","Safe Kids Canada, Hospital for Sick Children","KIDS","Ontario","Canada"
"329","Sherbourne Health Centre (Toronto, Ontario)","SHHC","Ontario","Canada"
"330","Saskatchewan Health Research Foundation","SHRF","Saskatchewan","Canada"
"331","Bruyère Research Institute/Institut de recherche Bruyère","BRUY","Ontario","Canada"
"332","Youth Science Canada (Toronto, Ontario)","YSFC","Ontario","Canada"
"333","Canadian Biotechnology Education Resource Centre","CBER","Ontario","Canada"
"334","ACTUA","ACTU","Ontario","Canada"
"335","Canadian Medical Hall of Fame","CMHF","Ontario","Canada"
"336","Dream Catcher Mentoring","DRCA","Ontario","Canada"
"337","Canadian Centre on Disability Studies (Winnipeg)","CCDS","Manitoba","Canada"
"338","Canadian Society for Exercise Physiology (Ottawa, Ontario)/Société canadienne de physiologie de l'exercise","CSEP","Ontario","Canada"
"339","Obesity Canada (Edmonton, AB)","CAOB","Alberta","Canada"
"340","Ontario Institute for Cancer Research (Toronto, Ontario)/Institut ontarien de recherche sur le cancer","OICR","Ontario","Canada"
"341","Association of Ontario Midwives (Toronto, Ontario)","AOMW","Ontario","Canada"
"342","The Canadian Centre for Activity and Aging,(London","CNAV","Ontario","Canada"
"343","Scleroderma Society of Canada (Calgary, Alberta)/Société canadienne de sclérodermie","SSCA","Alberta","Canada"
"344","National Network for Mental Health (St. Catharines, Ont)/Réseau national pour la santé mentale","NNMH","Ontario","Canada"
"345","Canadian Hearing Society Foundation (Toronto)","ABPS","Ontario","Canada"
"346","Nova Scotia Health Authority (Halifax)","ISAO","Nova Scotia","Canada"
"347","Wellesley Institute (Toronto, Ontario)","WEIN","Ontario","Canada"
